volume,vwap,open,close,high,low,time,transactions
1245444592.0,3.0302,3.0821,2.9929,3.0921,2.925,1167800400,189737
855483384.0,3.0403,3.0018,3.0593,3.0696,2.9936,1167886800,136333
835258032.0,3.0426,3.0632,3.0375,3.0786,3.0143,1167973200,141050
797413848.0,3.0683,3.07,3.0525,3.0904,3.0457,1168232400,130547
3352006588.0,3.1946,3.0875,3.3061,3.3207,3.0411,1168318800,569578
2957841544.0,3.4289,3.3839,3.4643,3.4929,3.3375,1168405200,472159
1442126952.0,3.4267,3.4264,3.4214,3.4564,3.3964,1168491600,231996
1312948056.0,3.3663,3.3782,3.3793,3.395,3.3296,1168578000,212713
1236226852.0,3.4438,3.4171,3.4679,3.4732,3.4089,1168923600,209005
1672192060.0,3.4321,3.4843,3.3911,3.4857,3.3864,1169010000,254029
2367293740.0,3.2376,3.2893,3.1811,3.2896,3.1804,1169096400,392744
1365021084.0,3.1753,3.165,3.1607,3.2018,3.1471,1169182800,226920
1453999596.0,3.094,3.1836,3.0996,3.1843,3.0589,1169442000,242125
1208595836.0,3.0881,3.0614,3.0607,3.1254,3.0539,1169528400,210700
928310012.0,3.0924,3.0957,3.0964,3.1125,3.0743,1169614800,148309
906531752.0,3.1137,3.1111,3.0804,3.1607,3.0725,1169701200,142398
987028924.0,3.0639,3.1113,3.0493,3.1204,3.0354,1169787600,161183
901947256.0,3.0731,3.0821,3.0693,3.0946,3.0546,1170046800,150176
578765264.0,3.061,3.0868,3.0554,3.0889,3.0446,1170133200,101077
855021160.0,3.0372,3.0307,3.0618,3.0714,3.0125,1170219600,137163
664827212.0,3.0484,3.0793,3.0264,3.0811,3.0264,1170306000,110423
621326048.0,3.0208,3.005,3.0268,3.0446,2.9893,1170392400,98114
580558776.0,3.0203,3.0107,2.9979,3.0439,2.9979,1170651600,96987
864674300.0,2.991,3.0161,3.0054,3.0168,2.9593,1170738000,141637
1069022416.0,3.0477,3.0171,3.0768,3.085,2.9839,1170824400,163927
679271376.0,3.0714,3.0511,3.0779,3.0896,3.0504,1170910800,112648
861020804.0,3.0129,3.0671,2.9739,3.0786,2.9718,1170997200,137552
724451168.0,3.0188,3.0154,3.0314,3.0421,2.9868,1171256400,121737
594995884.0,3.0274,3.0414,3.0225,3.0461,3.0107,1171342800,101724
507911012.0,3.0439,3.0225,3.0464,3.0586,3.0204,1171429200,80548
363796076.0,3.0406,3.0514,3.0432,3.0579,3.0279,1171515600,66036
400070776.0,3.0329,3.0446,3.0296,3.0504,3.0236,1171602000,50402
617967028.0,3.0533,3.0232,3.0679,3.0771,3.0057,1171947600,93727
1155928760.0,3.1584,3.0707,3.1857,3.1961,3.07,1172034000,190438
838845168.0,3.1994,3.2429,3.1968,3.2432,3.1618,1172120400,145727
518341572.0,3.1973,3.1843,3.1811,3.2264,3.1732,1172206800,80971
617027768.0,3.1587,3.2089,3.1661,3.2143,3.1289,1172466000,102064
1147595596.0,3.0522,3.0821,2.9975,3.11,2.9789,1172552400,205302
920066476.0,3.027,3.0196,3.0218,3.0571,2.9643,1172638800,157787
1415731520.0,3.0903,3.0011,3.1093,3.1539,2.9911,1172725200,248323
860202420.0,3.082,3.0989,3.0504,3.1264,3.0432,1172811600,150149
838994156.0,3.0958,3.0675,3.0829,3.1661,3.0629,1173070800,146210
723721824.0,3.138,3.1357,3.1496,3.1539,3.1214,1173157200,129471
623447188.0,3.1531,3.1446,3.1329,3.1775,3.1232,1173243600,102633
511372400.0,3.1461,3.1639,3.1429,3.1686,3.1236,1173330000,87382
452106004.0,3.1437,3.1714,3.1418,3.1732,3.1214,1173416400,77787
729556212.0,3.193,3.1429,3.2096,3.2139,3.1425,1173672000,124329
865883032.0,3.1954,3.1932,3.1571,3.2357,3.1571,1173758400,155440
796443928.0,3.1772,3.1643,3.2143,3.2143,3.14,1173844800,144667
559258196.0,3.2072,3.2129,3.1989,3.2271,3.1896,1173931200,96091
571762828.0,3.2021,3.1978,3.1996,3.2139,3.19,1174017600,72971
713153196.0,3.2434,3.2229,3.2546,3.2696,3.1996,1174276800,121840
488265792.0,3.2662,3.2618,3.2671,3.28,3.2521,1174363200,83768
687444324.0,3.3094,3.2854,3.3525,3.3571,3.2732,1174449600,118728
565288136.0,3.3481,3.3475,3.3557,3.37,3.3214,1174536000,94273
451317916.0,3.3455,3.3339,3.34,3.3596,3.3321,1174622400,79955
865318412.0,3.3819,3.3568,3.4232,3.425,3.3321,1174881600,138384
932526420.0,3.4236,3.4182,3.4093,3.4582,3.3929,1174968000,153378
949233544.0,3.3705,3.3886,3.33,3.4071,3.3268,1175054400,164099
725993744.0,3.3324,3.3636,3.3482,3.3639,3.2939,1175140800,123652
600907804.0,3.3406,3.3671,3.3182,3.3814,3.3125,1175227200,95472
502209680.0,3.3392,3.3636,3.3446,3.3661,3.3221,1175486400,89431
584279444.0,3.3804,3.3621,3.375,3.4011,3.3486,1175572800,94988
477087912.0,3.3783,3.3904,3.3668,3.3979,3.3618,1175659200,75814
355743808.0,3.3581,3.3614,3.3814,3.3814,3.34,1175745600,59768
412803580.0,3.3648,3.4004,3.3446,3.4036,3.3229,1176091200,69173
352577260.0,3.3484,3.3454,3.3661,3.3664,3.3361,1176177600,57836
549734416.0,3.32,3.3536,3.3068,3.3554,3.2975,1176264000,90241
663797456.0,3.2704,3.2871,3.2925,3.2968,3.24,1176350400,94861
719739132.0,3.238,3.2464,3.2229,3.2643,3.2164,1176436800,106851
608543376.0,3.2517,3.2346,3.2654,3.2679,3.2232,1176696000,91968
750603812.0,3.2334,3.2857,3.2268,3.2964,3.2036,1176782400,118814
464383752.0,3.2292,3.22,3.2286,3.2446,3.2,1176868800,74849
426454224.0,3.2347,3.2211,3.2239,3.2589,3.2082,1176955200,68907
525572096.0,3.2442,3.246,3.2489,3.2564,3.2339,1177041600,82429
781279884.0,3.3175,3.2729,3.3396,3.35,3.265,1177300800,114164
1055332544.0,3.3379,3.3557,3.33,3.4425,3.2607,1177387200,158971
1224601812.0,3.4556,3.3654,3.4053,3.4071,3.35,1177473600,175617
1738995412.0,3.5823,3.6279,3.53,3.6607,3.5107,1177560000,264430
699983368.0,3.537,3.5064,3.5686,3.5696,3.4889,1177646400,93063
617447208.0,3.584,3.5746,3.5643,3.6071,3.5596,1177905600,92361
531900600.0,3.5466,3.5568,3.5525,3.5839,3.5196,1177992000,80035
507521084.0,3.5762,3.5589,3.5854,3.5907,3.5525,1178078400,66101
575615768.0,3.5973,3.5975,3.5857,3.6232,3.5718,1178164800,81346
382305980.0,3.602,3.6,3.6004,3.6286,3.5893,1178251200,57922
862291556.0,3.6782,3.61,3.7114,3.7268,3.6075,1178510400,114651
784480900.0,3.7267,3.6954,3.7521,3.7554,3.6936,1178596800,112884
718558540.0,3.7837,3.7468,3.8171,3.82,3.7461,1178683200,104741
1197684376.0,3.8392,3.8082,3.8336,3.8871,3.7829,1178769600,183078
655543112.0,3.8642,3.8479,3.8836,3.8975,3.8136,1178856000,89568
652336580.0,3.9009,3.9171,3.9057,3.9286,3.8661,1179115200,100055
954575804.0,3.8754,3.9132,3.84,3.9357,3.8029,1179201600,153126
1127407540.0,3.8238,3.8761,3.8336,3.8868,3.6936,1179288000,171233
738033296.0,3.8788,3.8268,3.9086,3.9239,3.8268,1179374400,123044
621522216.0,3.9331,3.9368,3.9293,3.9514,3.9204,1179460800,88257
641092760.0,3.9863,3.9396,3.9993,4.0161,3.9304,1179720000,105652
572822376.0,4.0302,4.0175,4.055,4.0625,4.0004,1179806400,93608
915587484.0,4.0688,4.0721,4.0318,4.1071,4.0211,1179892800,139228
888734672.0,4.006,4.0289,3.9532,4.0879,3.9418,1179979200,146705
633022796.0,4.0252,4.0004,4.0579,4.0636,3.9821,1180065600,95419
646088912.0,4.0616,4.0875,4.0839,4.1021,4.0246,1180411200,98829
1482859756.0,4.1566,4.0821,4.2418,4.2457,4.0546,1180497600,230955
1300784268.0,4.3134,4.2882,4.3283,4.3632,4.2693,1180584000,205354
885996944.0,4.2613,4.3246,4.2286,4.3282,4.2246,1180670400,138153
887993400.0,4.2975,4.2379,4.3332,4.3475,4.2107,1180929600,144801
921756976.0,4.361,4.3361,4.3811,4.3818,4.3036,1181016000,146773
1113961156.0,4.3939,4.3682,4.4157,4.4304,4.3554,1181102400,171083
1917843872.0,4.4892,4.4639,4.431,4.5575,4.3996,1181188800,331116
1244348532.0,4.4265,4.4938,4.4461,4.4939,4.3675,1181275200,210188
1880732028.0,4.3894,4.4968,4.2925,4.5054,4.2693,1181534400,322579
1427582996.0,4.301,4.2625,4.2993,4.3468,4.2254,1181620800,247909
1722765912.0,4.1964,4.3268,4.1964,4.3282,4.1214,1181707200,290776
973828464.0,4.234,4.1857,4.2411,4.2661,4.1579,1181793600,155753
811401584.0,4.2961,4.3079,4.3036,4.3096,4.2807,1181880000,106622
911887116.0,4.4283,4.4029,4.4675,4.4707,4.3764,1182139200,138286
944693960.0,4.42,4.4532,4.4164,4.4646,4.3896,1182225600,144739
897237180.0,4.3875,4.4239,4.3411,4.4521,4.3393,1182312000,142998
867592124.0,4.3991,4.3464,4.425,4.4389,4.3114,1182398400,137004
635814536.0,4.406,4.4232,4.3929,4.4446,4.3707,1182484800,97294
966071848.0,4.4062,4.4354,4.3693,4.4675,4.3236,1182744000,159789
1344852852.0,4.3082,4.4279,4.2732,4.4286,4.24,1182830400,227929
974862168.0,4.3085,4.3075,4.3532,4.3586,4.2593,1182916800,156592
842270128.0,4.3155,4.37,4.3057,4.3746,4.2857,1183003200,127070
1137822868.0,4.3778,4.3561,4.3586,4.4286,4.3246,1183089600,177563
996031820.0,4.3236,4.3232,4.3307,4.3604,4.2607,1183348800,147166
1162289828.0,4.4769,4.3571,4.5418,4.55,4.3393,1183435200,180556
1453048128.0,4.68,4.6,4.7411,4.7489,4.5961,1183608000,229785
874680240.0,4.7107,4.7568,4.725,4.7621,4.6571,1183694400,133313
995820056.0,4.6667,4.7279,4.6546,4.7464,4.6136,1183953600,144556
1254531124.0,4.7385,4.6029,4.7268,4.8036,4.6004,1184040000,199640
821761472.0,4.7372,4.7168,4.7282,4.775,4.6896,1184126400,128031
704334596.0,4.7673,4.7804,4.7882,4.7943,4.7282,1184212800,107253
907576180.0,4.8516,4.8225,4.9189,4.9232,4.8043,1184299200,137706
934905832.0,4.9541,4.9425,4.9321,4.9993,4.9107,1184558400,149517
709957136.0,4.9555,4.9393,4.9611,4.9857,4.9107,1184644800,111885
757397480.0,4.9085,4.9339,4.9329,4.9443,4.8586,1184731200,127083
732889248.0,5.0084,5.0118,5.0,5.0289,4.9875,1184817600,109793
1167687388.0,5.072,5.0589,5.1339,5.1493,5.0,1184904000,182475
1036216888.0,5.1235,5.1182,5.1321,5.1864,5.0332,1185163200,156795
1804988640.0,4.9411,4.96,4.8175,5.0357,4.7911,1185249600,298552
1631093744.0,4.9472,4.9054,4.9021,4.9414,4.8214,1185336000,238800
2186699004.0,5.2025,5.2096,5.2143,5.3036,5.0732,1185422400,358896
1160928048.0,5.2297,5.2211,5.1375,5.3186,5.135,1185508800,193093
1108519552.0,5.0749,5.1546,5.0511,5.1946,4.9846,1185768000,176312
1770336876.0,4.9034,5.1061,4.7057,5.1243,4.6971,1185854400,291419
1751329076.0,4.7224,4.7729,4.8214,4.835,4.5632,1185940800,289237
853717172.0,4.8429,4.8804,4.8746,4.8914,4.7911,1186027200,139929
679185108.0,4.7979,4.8339,4.7089,4.8554,4.6964,1186113600,109984
925911476.0,4.7221,4.7464,4.8304,4.8311,4.5821,1186372800,150635
951391224.0,4.8399,4.8193,4.8225,4.9014,4.7368,1186459200,151418
808738112.0,4.8001,4.8839,4.7857,4.8879,4.7143,1186545600,123757
1124980220.0,4.6206,4.6825,4.5139,4.75,4.4675,1186632000,172083
1410592596.0,4.4292,4.3929,4.4643,4.5625,4.2964,1186718400,208763
754111624.0,4.5762,4.5832,4.5639,4.6196,4.5179,1186977600,116938
739163572.0,4.487,4.5804,4.4296,4.5821,4.4182,1187064000,121393
992850628.0,4.3676,4.3836,4.2821,4.4593,4.2732,1187150400,168683
1866643184.0,4.1003,4.1789,4.1804,4.2321,3.9864,1187236800,311110
1194951072.0,4.3432,4.3575,4.3593,4.4107,4.2793,1187323200,194107
803523112.0,4.3666,4.4271,4.365,4.4464,4.3036,1187582400,135454
1303047060.0,4.5229,4.3629,4.5561,4.6057,4.3214,1187668800,202174
1060629780.0,4.6973,4.6864,4.7325,4.7411,4.6546,1187755200,162056
866836264.0,4.6871,4.7532,4.6811,4.7621,4.6343,1187841600,147292
911832852.0,4.7714,4.6625,4.8321,4.8346,4.6361,1187928000,144117
707442848.0,4.762,4.764,4.7232,4.8093,4.7179,1188187200,116978
1179370220.0,4.6128,4.6782,4.5293,4.7289,4.5225,1188273600,198534
1166883956.0,4.7185,4.6386,4.7886,4.7921,4.6264,1188360000,209173
1435632156.0,4.8715,4.7382,4.8661,4.9375,4.725,1188446400,246052
876891120.0,4.9407,4.9818,4.9457,4.9875,4.9075,1188532800,148578
1316823452.0,5.1158,4.9996,5.1486,5.2046,4.9943,1188878400,234684
2328226796.0,5.0518,5.1775,4.8843,5.2086,4.8607,1188964800,399141
1900799544.0,4.8156,4.8418,4.8218,4.9132,4.7396,1189051200,328036
